title,url
ACCC alleges Google misled consumers about expanded use of personal data,https://www.accc.gov.au/media-release/accc-alleges-google-misled-consumers-about-expanded-use-of-personal-data
It's time to get serious about research fraud,https://undark.org/2020/07/23/cracking-down-on-research-fraud
New ‘Meow’ attack has deleted almost 4k unsecured databases,https://www.bleepingcomputer.com/news/security/new-meow-attack-has-deleted-almost-4-000-unsecured-databases/
Sledding athletes are taking their lives,https://www.nytimes.com/2020/07/26/sports/olympics/olympics-bobsled-suicide-brain-injuries.html
Small mail server best current practices,https://bridge.grumpy-troll.org/2020/07/small-mailserver-bcp/
"Harry Eng, the Master of the “Impossible Bottle”",https://www.puzzlemuseum.com/puzzles/amb/eng_botts/harry-eng.htm
Reading Hard-to-Read Gravestones,https://organizeyourfamilyhistory.com/reading-hard-read-gravestones/
"50 authors, 50 science fiction stories shorter than novels",https://bitmason.blogspot.com/2020/07/50-favorite-short-science-fiction.html
Facebook has blocked Dreamwidth,https://andrewducker.dreamwidth.org/3861716.html
This month in 1939: How dead cattle led to the discovery of warfarin,http://www.pmlive.com/pharma_news/how_dead_cattle_led_to_the_discovery_of_warfarin_485464
Basics of Haskell – Code and exercises,https://github.com/raviksharma/bartosz-basics-of-haskell
Colorize Your CLI,https://danyspin97.org/blog/colorize-your-cli/
Show HN: MathLingua – The Language of Mathematics,http://www.mathlingua.org/
Remote work is not necessarily a good thing for the worker,https://www.seanblanda.com/our-remote-work-future-is-going-to-suck/
Lost World: Schieks Cave (2009),http://gregbrick.org/schieks_cave
About Ron Graham,http://www.math.ucsd.edu/~fan/ron/
Headphones are collecting too much personal data (2019),https://www.soundguys.com/headphones-are-collecting-too-much-personal-data-21524/
Named arguments are coming in PHP 8,https://stitcher.io/blog/php-8-named-arguments
Finding Gene Cernan's Missing Moon Camera,https://www.spacecamera.co/articles/2020/3/3/gene-cernans-missing-lunar-surface-camera
Audio from Scratch with Go: Stereo Panning,https://dylanmeeus.github.io/posts/audio-from-scratch-pt4/
A dying teenager who wanted world peace (and love),https://www.bbc.com/news/stories-52763560
"Olivia de Havilland, sophisticated star of Hollywood's golden age, dies at 104",https://www.hollywoodreporter.com/news/olivia-de-havilland-dead-gone-wind-adventures-robin-hood-star-was-104-720040
VM Computers,https://www.curseforge.com/minecraft/mc-mods/vm-computers
Run PHP in the browser through Babel,https://gitlab.com/kornelski/babel-preset-php
One company's plan to build a search engine Google can't beat,https://www.protocol.com/neeva-search
Luigi Model found in Mario 64 source code,https://twitter.com/bigcti/status/1287127746120998912
Centuries-old paintings help researchers track food evolution,https://www.smithsonianmag.com/smart-news/how-paintings-can-teach-us-about-evolution-food-180975381/
Signing .jars is not worth the effort,https://quanttype.net/posts/2020-07-26-signing-jars-is-worthless.html
Research Based on the .NET Runtime (2019),http://www.mattwarren.org/2019/10/25/Research-based-on-the-.NET-Runtime/
Demystifying MLsub – The Simple Essence of Algebraic Subtyping,https://lptk.github.io/programming/2020/03/26/demystifying-mlsub.html
